GMAT,GPA,UNIVERSITY,MAJOR,JOBTITLE,GENDER,RACE,AGE,INTERNATIONAL,ODDS
,,,,,,,,,"Sandy’s Analysis: Your chances at Wharton are 50/50 given your okay GPA, your lowish GMAT (especially for them), and strong extracurriculars, plus the Google premium. Schools like kids who work at Google because so much case study and entrepreneurship revolves around Google issues. Plus, getting a job there is a coup because it’s so selective."
,,,,,,,,,"Stanford: Less than 30%
Columbia: 30%
Northwestern: Better than 40%
Chicago: Better than 40%
Yale: Better than 40%
NYU: 50%
Virginia: 50%
Georgetown: 60%"
700,3.45,Tier 3,Business,,,,28,,"Stanford: Forget it
Columbia: Ditto
Dartmouth: More ditto
NYU: 10%
Cornell: 10%
Yale: 10%"
680,3.96,Tier 3,Philosophy,,,,,,"Harvard Business School: 30% to 50%
Stanford: 15% to 35%
Berkeley: 50+%
Columbia: 40% to 60% (depends on GMAT)
NYU: 60% to 70% (just convince them you want to go)
Georgetown: 60% to 70% (just convince them you want to go)"
,,,,,,,,,"Wharton: Zero
Columbia: Zero
Cornell: Zero
UCLA: Zero
Boston University: -20%
Arizona State: -30%
Baruch: 30%"
700,3,Tier 3,Business,,,,,,"Wharton: -20%
Chicago: 25%
Kellogg: 25%
Tuck: 20%
Columbia: -30%
Duke: 30%
Virginia: 35%"
680,2.6,Tier 3,Finance,,,,,,"Harvard Business School: Zilch
Stanford: Double zilch
INSEAD: A wonderful long shot
Schools Ranked 10+: 10%
Red: 50%
Black: 50%
Lucky 17: 38-1 odds"
690,3.4,Tier 3,Public Policy,,Female,Asian,24,,"Stanford (joint degree in School of Education): 15% to 20%
Harvard Business School: 20% to 30%
Berkeley: 40+%
Yale: 50+%
Wharton: 25% to 40%
Northwestern: 40% to 60%
Columbia: 40% to 50%
Duke: 50% to 60%"
690,3.5,Tier 3,Economics,,MALE,White,26,,"Harvard Business School: 20%
Stanford: 20%
Chicago Booth: 20% to 50%
Kellogg: 20% to 50%
UCLA: 30% to 60%+
Columbia: 30% to 40%
New York University: 30% to 55%"
570,3.9,Tier 3,Economics,,,,,,"Harvard: 25%+
Stanford: 20%+
Wharton: 25%+
MIT Sloan: 20%
Chicago Booth: 40%+"
660,3.4,Tier 3,STEM,,MALE,Black,29,,"Harvard: 10%
Wharton: 10%
Kellogg: 20%+
Duke: 30%
Michigan: 30%
Vanderbilt: 50%+"
700,3.9,Tier 3,Finance,,Female,,18,,"Stanford: 50%+
Harvard: 50%+
Wharton: 60%+"
700,3.3,Tier 3,Engineering,,Female,Black,23,,"Harvard: 20%
Stanford: 15%
Sloan: 25%
Tuck: 25%
Yale: 30%+
Cornell: 50%+"
710,3.97,Tier 3,Economics,,MALE,Asian,23,,"Harvard: 20% to 30%
Wharton: 30% to 40%
Tuck: 40%+
Booth: 40%+
Texas: 50%+
Duke: 50%+"
650,3.4,Tier 3,Finance,,,,21,,"Harvard: 20%+
Stanford: 15%
Wharton: 25%+
Chicago: 30% to 40%
Northwestern: 30% to 40%
Columbia: 30% to 40%"
690,3.6,Tier 3,Engineering,,Female,Asian,26,,"Harvard: 20% to 35%
Stanford: 15% to 20%
Wharton: 30% to 40%
Yale: 50%+
Berkeley: 50%+"
660,3.75,Tier 3,Economics,,Female,,25,,"Harvard: 20% to 30%
Stanford: 10% to 20%
Wharton: 25% to 35%
Dartmouth: 25% to 35%
Columbia: 30% to 40%
Duke: 35% to 50%"
740,3.6,Tier 1,Political Science,,Female,Asian,25,,"Harvard: Ding
Wharton: Ding
Stanford: 20%
Kellogg: 45+%
Chicago: 50+%
MIT: 30% to 40%"
660,3.4,Tier 3,Business,,MALE,White,26,,"Duke (dream school): 30%
UCLA: 20% to 30%
Northwestern: 25%
Vanderbilt: 50%"
,3.9,Tier 3,,,,Asian,30,,"Harvard: 30%
Stanford: 30%
MIT: 40% to 50+%
Duke: 50+%
UNC: 50+%"
,3.89,Tier 3,Economics,,MALE,White,27,,"Northwestern: 40% to 50%
Yale: 40% to 50%
Columbia: 30% to 50%
NYU: 40% to 50%
Vanderbilt: 50+%
Duke: 50+%
Emory: 50+%"
640,,Tier 3,Business,,,,28,,"Harvard: 20-30%
Wharton: 30-40%
Stanford: 10%
Dartmouth: 30-50%
Northwestern: 30% to 60%
INSEAD: 30% to 50%
IMD: 30% to 50%
Oxford: 30% to 50+%
Cambridge: 30% to 50+%"
720,3.4,Tier 3,Engineering,,MALE,Asian,27,,"Wharton: 30-35+%
Stanford: 10%
Harvard: 10%
Chicago: 30+%
MIT: 30%
Northwestern: 30+%
Columbia: 25%"
670,3.95,Tier 3,Business,,MALE,,44,,"Harvard: 30+%
Stanford: 20%
Northwestern: 40% to 50%
Dartmouth: 50%
Chicago: 50%
Columbia: 35% to 40%"
630,3.43,Tier 3,STEM,,MALE,White,32,,"Harvard: 10%
Stanford: 10%
Dartmouth: 20+%
Chicago: 20+%
Wharton: 20%
Duke: 30-50+%
NYU: 25%
UCLA: 25%"
700,3.25,Tier 3,Economics,,,,,,"Wharton: 20% to 30%
Northwestern: 25% to 40%
NYU: 30%
Chicago: 25% to 40%
Duke: 35% to 50%
Columbia: 40%  (early decision)"
690,3.3,Tier 3,Engineering,,MALE,,25,,"Harvard: 10%
Dartmouth: 20% to 30%
Duke: 20% to 50%
Michigan: 20% to 50%
Yale: 20% to 40%
Texas: 50+%
Virginia: 50+%
ISB: 30+%"
640,3.4,Tier 3,,,MALE,,29,,"MIT: 10%
Michigan: 20%
Chicago: 15%
Berkeley: 10%
Duke: 20%
Cornell: 20%"
,3.87,Tier 3,STEM,,MALE,White,24,,"Harvard: 40+%
Stanford: 20% to 35+%
Wharton: 50%+
Chicago: 50+%
Northwestern: 50+%
MIT: 50+%"
720,3.6,Tier 3,,,MALE,Black,,,"Harvard: 30% to 40%
Dartmouth: 50+%
Chicago: 50+%
Berkeley: 50+%"
710,3.4,Tier 3,Business,,Female,White,26,,"Harvard: 20%
Stanford: 15%
Berkeley: 40%
MIT: 30% to 40%
Columbia: 40% to 50%
London: 60+%"
,3.1,Tier 3,,,,White,30,,"Harvard: 10%
Stanford: 5%
Cornell (one year): 40%
Yale: 20%
Chicago: 20%
Northwestern: 20%
Columbia (accelerated program): 40%"
620,3.53,Tier 1,Political Science,,MALE,Black,25,,"Harvard: 40% to 45%
Stanford: 20% to 30%
Wharton: 40+%
Dartmouth: 40% to 50%
Columbia: 40% to 50%
Berkeley: 30% to 50%
Yale: 50+%"
700,3.9,Tier 3,STEM,,Female,White,27,,"Sandy’s Analysis: Phew, what we got here is a great beginning, a happy ending and a so-so middle.  To wit"
,3.5,Tier 3,Economics,,Female,,,,"Northwestern: 30% to 45+%
Chicago: 30% to 40+%
Yale: 30% to 40+%
Duke: 30% to 50%
Virginia: 30% to 50%
UCLA: 30% to 40%
Emory: 40% to 50%
UNC: 40% to 50%
Georgetown: 40% to 50%
Vanderbilt: 50+%"
700,3.7,Tier 1,,,,,18,,"Harvard: 10% to 15%
Stanford: 10%
Columbia: 30% to 45%
Wharton: 30%
INSEAD:  35%"
700,3.6,Tier 3,Economics,,MALE,Latinx,26,,"Harvard: 30% to 35%
Stanford: 15% to 25%
Wharton: 30% to 45%
Northwestern: 40+%"
760,3.6,Tier 3,,,,,30,,"Harvard: 20% to 30+%
Stanford: 10% to 15%
Wharton: 30% to 35%
Columbia: 40%+
Chicago: 50%+
Kellogg: 60+%"
